Year,Month,crime_category_v2,count
2022,3,OTHER,1330
2022,3,PROPERTY_CRIME,8479
2022,3,SEXUAL_CRIME,510
2022,3,VANDALISM,1642
2022,3,VEHICLE_CRIME,2206
2022,3,VIOLENT_CRIME,5560
2022,4,OTHER,1270
2022,4,PROPERTY_CRIME,8572
2022,4,SEXUAL_CRIME,499
2022,4,VANDALISM,1621
2022,4,VEHICLE_CRIME,2302
2022,4,VIOLENT_CRIME,5560
2022,5,OTHER,1316
2022,5,PROPERTY_CRIME,8627
2022,5,SEXUAL_CRIME,508
2022,5,VANDALISM,1706
2022,5,VEHICLE_CRIME,2306
2022,5,VIOLENT_CRIME,5996
2022,6,OTHER,1252
2022,6,PROPERTY_CRIME,8720
2022,6,SEXUAL_CRIME,533
2022,6,VANDALISM,1704
2022,6,VEHICLE_CRIME,2097
2022,6,VIOLENT_CRIME,5959
2022,7,OTHER,1353
2022,7,PROPERTY_CRIME,8360
2022,7,SEXUAL_CRIME,462
2022,7,VANDALISM,1638
2022,7,VEHICLE_CRIME,2182
2022,7,VIOLENT_CRIME,6002
2022,8,OTHER,1420
2022,8,PROPERTY_CRIME,8539
2022,8,SEXUAL_CRIME,464
2022,8,VANDALISM,1484
2022,8,VEHICLE_CRIME,2272
2022,8,VIOLENT_CRIME,5946
2022,9,OTHER,1237
2022,9,PROPERTY_CRIME,8263
2022,9,SEXUAL_CRIME,471
2022,9,VANDALISM,1449
2022,9,VEHICLE_CRIME,2120
2022,9,VIOLENT_CRIME,5783
2022,10,OTHER,1306
2022,10,PROPERTY_CRIME,9052
2022,10,SEXUAL_CRIME,480
2022,10,VANDALISM,1432
2022,10,VEHICLE_CRIME,2135
2022,10,VIOLENT_CRIME,5918
2022,11,OTHER,1123
2022,11,PROPERTY_CRIME,8920
2022,11,SEXUAL_CRIME,421
2022,11,VANDALISM,1327
2022,11,VEHICLE_CRIME,1955
2022,11,VIOLENT_CRIME,4991
2022,12,OTHER,1238
2022,12,PROPERTY_CRIME,9971
2022,12,SEXUAL_CRIME,414
2022,12,VANDALISM,1414
2022,12,VEHICLE_CRIME,1937
2022,12,VIOLENT_CRIME,5047
2023,1,OTHER,1264
2023,1,PROPERTY_CRIME,9469
2023,1,SEXUAL_CRIME,461
2023,1,VANDALISM,1438
2023,1,VEHICLE_CRIME,2030
2023,1,VIOLENT_CRIME,5267
2023,2,OTHER,1191
2023,2,PROPERTY_CRIME,8958
2023,2,SEXUAL_CRIME,378
2023,2,VANDALISM,1341
2023,2,VEHICLE_CRIME,1871
2023,2,VIOLENT_CRIME,4743
2023,3,OTHER,1287
